Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_rps,Gy_rps,Gz_rps,Ref_Roll,Ref_Pitch,Ref_YawRate
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2336,,,,,,,, # System startup - Hand Controller initialized
20051,,,,,,,, # Flight started - Loop timestamp zero point set
1530,50,-0.13,-0.03,-0.01,255,0,-0.11017,0.10299,10.04950,-0.00879,-0.00799,-0.00466,-5.00000,0.00000,0.00000
1540,50,-0.04,0.04,-0.01,255,0,-0.12694,0.12694,10.03753,-0.00906,-0.01039,-0.00759,-5.00000,0.00000,0.00000
1550,50,-0.15,0.04,-0.01,255,0,-0.14131,0.12454,10.05190,-0.00893,-0.01306,-0.00626,-5.00000,0.00000,0.00000
1560,50,-0.04,0.03,-0.01,255,0,-0.11975,0.14131,10.03753,-0.00959,-0.01399,-0.00653,-5.00000,0.00000,0.00000
1570,50,0.05,-0.04,-0.01,255,0,-0.10299,0.16047,10.03274,-0.01066,-0.01279,-0.00586,-5.00000,0.00000,0.00000
1580,50,-0.04,0.02,-0.01,255,0,-0.12215,0.12454,10.03274,-0.00946,-0.00946,-0.00706,-5.00000,0.00000,0.00000
1590,49,0.07,0.02,-0.01,255,0,-0.13652,0.16286,10.03034,-0.01066,-0.01026,-0.00520,-5.00000,0.00000,0.00000
1600,49,-0.04,-0.01,-0.01,255,0,-0.10778,0.12454,10.04232,-0.01119,-0.01212,-0.00786,-5.00000,0.00000,0.00000
1610,49,0.06,0.05,-0.01,255,0,-0.12694,0.11975,10.03753,-0.01013,-0.01239,-0.00600,-5.00000,0.00000,0.00000
1620,49,-0.02,-0.03,-0.01,255,0,-0.10299,0.13173,10.01597,-0.01039,-0.01199,-0.00560,-5.00000,0.00000,0.00000
1630,49,-0.04,0.08,-0.01,255,0,-0.13652,0.11496,10.03753,-0.01159,-0.01066,-0.00493,-5.00000,0.00000,0.00000
1640,49,-0.01,-0.03,-0.01,255,0,-0.11975,0.13652,10.03992,-0.01159,-0.01319,-0.00746,-5.00000,0.00000,0.00000
1650,49,-0.04,0.08,-0.01,255,0,-0.14849,0.12215,10.04232,-0.01132,-0.01066,-0.00546,-5.00000,0.00000,0.00000
1660,49,-0.01,-0.03,-0.01,255,0,-0.11017,0.13412,10.02076,-0.01039,-0.01172,-0.00493,-5.00000,0.00000,0.00000
1670,50,-0.11,0.03,-0.01,255,0,-0.10299,0.11736,10.04232,-0.01079,-0.01132,-0.00733,-5.00000,0.00000,0.00000
1680,50,-0.02,-0.05,-0.01,255,0,-0.10778,0.12215,10.02795,-0.01092,-0.01439,-0.00813,-5.00000,0.00000,0.00000
1690,50,-0.12,0.02,-0.01,255,0,-0.11017,0.12933,10.05190,-0.00999,-0.01159,-0.00440,-5.00000,0.00000,0.00000
1700,50,-0.02,-0.05,-0.01,255,0,-0.10538,0.13891,10.06148,-0.00986,-0.01079,-0.00600,-5.00000,0.00000,0.00000
1710,50,-0.14,-0.03,-0.01,255,0,-0.11496,0.11496,10.02795,-0.00999,-0.01186,-0.00759,-5.00000,0.00000,0.00000
1720,50,-0.02,-0.05,-0.01,255,0,-0.11496,0.11496,10.00400,-0.00986,-0.01053,-0.00679,-5.00000,0.00000,0.00000
1730,50,-0.14,-0.06,-0.01,255,0,-0.10778,0.12215,10.03753,-0.00919,-0.01132,-0.00759,-5.00000,0.00000,0.00000
