Timestamp,Throttle,Roll,Pitch,Yaw,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
584,,,,,,,, # System startup - Hand Controller initialized
24796,,,,,,,, # Flight started - Loop timestamp zero point set
63998,131,0,0,2,131,0,0.03353,0.07425,9.96807,-0.66412,-0.29771,-0.54198
64118,131,0,0,2,131,0,-0.08862,0.05509,9.94652,-0.65649,-0.48855,0.00000
64239,131,0,0,2,131,0,-0.11257,0.07185,9.95131,-0.56489,-0.39695,-0.47328
64359,131,0,0,2,131,0,0.02874,0.04311,9.97286,-0.74046,-0.39695,-0.31298
64480,131,0,0,2,131,0,-0.07904,0.06946,9.97286,-0.76336,-0.32824,-0.12214
64600,131,0,0,2,131,0,-0.09341,0.04311,9.96089,-0.63359,-0.54962,-0.33588
64721,131,0,0,2,131,0,-0.02635,0.05988,9.96807,-0.71756,-0.22901,-0.53435
64841,131,0,0,2,131,0,-0.06227,0.00719,9.95131,-0.58015,-0.36641,-0.10687
64962,131,0,0,2,131,0,-0.14131,0.07185,9.98005,-0.77099,-0.32824,-0.32824
65082,131,0,0,2,131,0,-0.01677,0.05988,9.94412,-0.72519,-0.36641,-0.55725
65203,131,0,0,2,131,0,-0.05030,0.00240,9.97047,-0.76336,-0.32061,-0.25954
65324,131,0,0,2,131,0,-0.11496,0.03353,9.96328,-0.70229,-0.48855,-0.32061
65444,131,0,0,2,131,0,-0.02874,0.03353,9.96328,-0.55725,-0.27481,-0.40458
65565,131,0,0,2,131,0,-0.06946,0.06706,9.94412,-0.62595,-0.38168,-0.29771
65685,131,0,0,2,131,0,-0.09341,0.02395,9.96089,-0.73282,-0.21374,-0.61069
65806,131,0,0,2,131,0,-0.04311,0.03832,9.95370,-0.66412,-0.29771,-0.27481
65926,131,0,0,2,131,0,-0.07904,0.01677,9.96568,-0.74046,-0.28244,-0.22137
66047,131,0,0,2,131,0,-0.11017,0.03593,9.93933,-0.74809,-0.47328,-0.32061
66167,131,0,0,2,131,0,-0.03353,0.03593,9.97286,-0.67176,-0.25954,-0.52672
66288,131,0,0,2,131,0,-0.06227,0.02156,9.96568,-0.70992,-0.49618,-0.41221
66408,131,0,0,2,131,0,-0.10778,0.03353,9.96328,-0.62595,-0.45802,-0.43511
66529,131,0,0,2,131,0,-0.05748,0.01677,9.97526,-0.69466,-0.34351,-0.35878
66649,131,0,0,2,131,0,-0.02635,-0.00719,9.95849,-0.59542,-0.30534,-0.25191
66770,131,0,0,2,131,0,-0.07664,0.03593,9.96328,-0.83206,-0.38168,-0.35878
66891,131,0,0,2,131,0,-0.06467,0.03353,9.98963,-0.84733,-0.48855,-0.27481
67011,131,0,0,2,131,0,-0.05269,0.02156,9.96568,-0.66412,-0.43511,-0.38931
67132,131,0,0,2,131,0,-0.09341,0.01437,9.96568,-0.67176,-0.30534,-0.25954
67252,131,0,0,2,131,0,-0.03353,0.03353,9.94891,-0.80916,-0.30534,-0.16031
67373,131,0,0,2,131,0,-0.00958,0.00240,9.95849,-0.60305,-0.52672,-0.45802
67493,131,0,0,2,131,0,-0.07425,0.02874,9.94652,-0.61069,-0.26718,-0.30534
67614,131,0,0,2,131,0,-0.05509,0.03593,9.96568,-0.64122,-0.32824,-0.47328
67734,131,0,0,2,131,0,-0.02874,0.02156,9.94891,-0.69466,-0.28244,-0.22137
67855,131,0,0,2,131,0,-0.06946,0.01198,9.95610,-0.70229,-0.29771,-0.33588
67975,131,0,0,2,131,0,-0.05748,0.01677,9.95370,-0.65649,-0.45038,-0.41985
68096,131,0,0,2,131,0,-0.05748,0.02156,9.97047,-0.62595,-0.41221,-0.41221
68217,131,0,0,2,131,0,-0.04790,0.04790,9.98484,-0.70229,-0.36641,-0.29008
68337,131,0,0,2,131,0,-0.06706,0.09341,9.96089,-0.70992,-0.36641,-0.31298
68458,131,0,0,2,131,0,-0.03593,0.04551,9.95849,-0.66412,-0.37405,-0.25954
68578,131,0,0,2,131,0,-0.05269,0.04072,9.95131,-0.80153,-0.39695,-0.25954
68699,131,0,0,1,131,0,-0.06467,0.00000,9.97526,-0.68702,-0.24427,-0.31298
68819,131,0,0,1,131,0,-0.08862,0.01677,9.97765,-0.69466,-0.34351,-0.18321
68940,131,0,0,1,131,0,-0.03832,0.02156,9.96089,-0.89313,-0.39695,-0.31298
69060,131,0,0,1,131,0,-0.07904,0.00240,9.97047,-0.69466,-0.35115,-0.23664
