Timestamp,Throttle,Pitch,Yaw,Roll,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2433,,,,,,,, # System startup - Hand Controller initialized
16893,,,,,,,, # Flight started - Loop timestamp zero point set
22349,131,128,131,131,131,0,0.00958,0.00479,10.00879,-0.61069,-0.08397,-0.42748
22470,131,128,131,131,131,0,0.02156,0.03114,10.01118,-0.70992,-0.25954,-0.35878
22590,131,128,131,131,131,0,0.03353,0.01916,10.01118,-0.82443,-0.16794,-0.23664
22711,131,128,131,131,131,0,0.04790,-0.02635,9.99442,-0.64885,-0.07634,-0.38931
22831,131,128,131,131,131,0,0.05030,0.00958,10.00639,-0.72519,0.04580,-0.32824
22952,131,128,131,131,131,0,0.03832,-0.00958,9.99921,-0.61832,-0.24427,-0.29771
23072,131,128,131,131,131,0,0.03353,-0.00719,9.99921,-0.66412,-0.07634,-0.32061
23193,131,128,131,131,131,0,0.00479,-0.01916,9.99681,-0.68702,-0.12977,-0.35115
23314,131,128,131,131,131,0,0.01677,0.03114,10.02555,-0.70992,-0.12214,-0.30534
23434,131,128,131,131,131,0,0.04551,-0.00240,10.00400,-0.71756,-0.22901,-0.31298
23555,131,128,131,131,131,0,0.05509,-0.03114,9.98723,-0.81679,-0.17557,-0.27481
23675,131,128,131,131,131,0,0.03593,0.00000,10.02316,-0.73282,-0.05344,-0.26718
23796,131,128,131,131,131,0,0.05509,0.02156,10.01597,-0.68702,-0.05344,-0.35115
23916,131,128,131,131,131,0,0.01677,-0.01677,10.02316,-0.79389,-0.13740,-0.36641
24037,131,128,131,131,131,0,0.03832,0.01437,10.01597,-0.72519,-0.23664,-0.30534
24157,131,128,131,131,131,0,0.06227,-0.03353,10.00639,-0.74046,-0.10687,-0.43511
24278,131,128,131,131,131,0,0.05269,-0.00240,10.00639,-0.76336,-0.22901,-0.28244
24398,131,128,131,131,131,0,0.00719,-0.00719,10.01597,-0.61832,-0.22137,-0.36641
24519,131,128,131,131,131,0,0.05030,0.00240,10.03034,-0.67176,-0.11450,-0.29008
24639,131,128,131,131,131,0,0.01437,-0.01437,10.00639,-0.66412,-0.07634,-0.25954
24760,131,128,131,131,131,0,0.02874,0.00000,10.01837,-0.67939,-0.11450,-0.32061
24881,131,128,131,131,131,0,0.02874,-0.00958,10.01358,-0.70229,-0.12977,-0.41985
25001,131,128,131,131,131,0,0.02635,0.00000,10.01118,-0.58779,-0.09924,-0.25191
25122,131,128,131,131,131,0,0.05030,-0.01198,9.99442,-0.75573,-0.25191,-0.41221
25242,131,128,131,131,131,0,0.04790,0.00479,9.98723,-0.62595,-0.11450,-0.35115
25363,131,128,131,131,131,0,0.02156,-0.01916,10.00400,-0.63359,-0.19847,-0.34351
25483,131,128,131,131,131,0,0.07425,0.02874,10.00400,-0.64122,-0.19084,-0.48855
25604,131,128,131,131,131,0,0.03832,-0.01198,9.98484,-0.69466,-0.20611,-0.41985
25724,131,128,131,131,131,0,0.02156,-0.02395,9.99681,-0.62595,-0.12977,-0.37405
25845,131,128,131,131,131,0,0.07904,0.00240,10.01358,-0.70992,-0.09924,-0.30534
25965,131,128,131,131,131,0,0.04072,-0.02395,9.98244,-0.75573,-0.16031,-0.42748
26086,131,128,131,131,131,0,0.02635,-0.02395,10.00400,-0.70992,-0.19084,-0.38931
26206,131,128,131,131,131,0,0.04551,0.00958,9.99681,-0.65649,-0.09160,-0.34351
26327,131,128,131,131,131,0,0.03114,-0.02395,10.00879,-0.67939,-0.12977,-0.41221
26448,131,128,131,131,131,0,0.03832,0.00479,10.00160,-0.77863,-0.31298,-0.38168
26568,131,128,131,131,131,0,0.01916,0.00719,10.00400,-0.71756,-0.18321,-0.23664
26689,131,128,131,131,131,0,0.02635,-0.01916,9.99921,-0.72519,-0.06870,-0.29771
26809,131,128,131,131,131,0,0.06706,-0.01916,10.01358,-0.80916,-0.16794,-0.35115
26930,131,128,131,131,131,0,0.01677,0.00719,9.98005,-0.75573,-0.22137,-0.32061
27050,131,128,131,131,131,0,0.04072,0.00958,10.01118,-0.74046,-0.22901,-0.30534
27171,131,128,131,131,131,0,0.01198,0.00719,9.97286,-0.73282,-0.27481,-0.38931
27291,131,128,131,131,131,0,0.04072,0.00479,10.00160,-0.60305,-0.19084,-0.29771
27412,131,128,131,131,131,0,0.03593,0.00719,10.01118,-0.55725,-0.10687,-0.29771
27532,131,128,131,131,131,0,0.05509,0.00240,10.00160,-0.72519,-0.16794,-0.35115
27653,131,128,131,131,131,0,0.03114,-0.00958,10.00400,-0.69466,0.06870,-0.42748
27773,131,128,131,131,131,0,0.02156,0.03114,10.00400,-0.58015,-0.10687,-0.32824
27894,131,128,131,131,131,0,0.03593,0.00000,9.99442,-0.79389,-0.14504,-0.37405
28015,131,128,131,131,131,0,0.04551,-0.01677,9.99921,-0.69466,-0.12214,-0.41221
28135,131,128,131,131,131,0,0.05988,-0.01198,10.03753,-0.68702,-0.22901,-0.19084
28256,131,128,131,131,131,0,0.04311,-0.00719,9.98244,-0.80916,-0.09160,-0.25191
28376,131,128,131,131,131,0,0.04311,-0.00479,10.02795,-0.80153,-0.21374,-0.31298
28497,131,128,131,131,131,0,0.04551,0.01198,10.00400,-0.77099,-0.12214,-0.28244
28617,131,128,131,131,131,0,0.00000,-0.00240,10.00639,-0.66412,-0.22901,-0.28244
28738,131,128,131,131,131,0,0.04072,-0.00958,9.99442,-0.85496,-0.06107,-0.40458
28858,131,128,131,131,131,0,0.04072,0.00000,10.00639,-0.54198,-0.24427,-0.41221
28979,131,128,131,131,131,0,0.02635,-0.00240,10.00639,-0.70229,-0.08397,-0.28244
